referent	EN_source_sentence	referent_embedding	sentence_source	OPUS_DE_translation	DE_gender	OPUS_ES_translation	ES_gender	DE_contrastive_TR	DE_contrastive_gender	ES_contrastive_TR	ES_contrastive_gender
nurse	Your doctor or MS nurse may provide you with an AVOSTARTCLIP titration kit to help gradually increase your dose of AVONEX during the first 3 weeks of treatment.	female_embedding_list	C4	Ihr Arzt oder die MS-Krankenschwester kann Ihnen ein AVOSTARTCLIP-Titrationsset zur Verfügung stellen, um Ihre AVONEX-Dosis in den ersten 3 Wochen der Behandlung schrittweise zu erhöhen.	feminine	Su médico o enfermero de MS pueden proporcionarle un kit de ajuste de AVOSTARTCLIP para ayudar a aumentar gradualmente su dosis de AVONEX durante las primeras 3 semanas de tratamiento.	masculine	Ihr Arzt oder der MS-Krankenpfleger kann Ihnen ein AVOSTARTCLIP-Titrationsset zur Verfügung stellen, um Ihre AVONEX-Dosis in den ersten 3 Wochen der Behandlung schrittweise zu erhöhen.	masculine	Su médico o enfermera de MS pueden proporcionarle un kit de ajuste de AVOSTARTCLIP para ayudar a aumentar gradualmente su dosis de AVONEX durante las primeras 3 semanas de tratamiento.	feminine
manager	I went but the manager said I' d just missed her.	male_embedding_list	OpenSubtitles	Ich ging, aber der Manager sagte, ich hätte sie gerade verpasst.	masculine	Fui pero el gerente dijo que la había echado de menos.	masculine	Ich ging, aber die Managerin sagte, ich hätte sie gerade verpasst.	feminine	Fui pero la gerenta dijo que la había echado de menos.	feminine
attendant	Well, you must, as a flight attendant, offer the option of buying another seat at half price for that oversized item.	female_embedding_list	OpenSubtitles	Nun, Sie müssen als Flugbegleiter die Möglichkeit bieten, einen anderen Sitzplatz zum halben Preis für dieses übergroße Stück zu kaufen.	masculine	Bueno, usted debe, como azafata, ofrecer la opción de comprar otro asiento a mitad de precio para ese artículo de gran tamaño.	feminine	Nun, Sie müssen als Flugbegleiterin die Möglichkeit bieten, einen anderen Sitzplatz zum halben Preis für dieses übergroße Stück zu kaufen.	feminine	Bueno, usted debe, como azafato, ofrecer la opción de comprar otro asiento a mitad de precio para ese artículo de gran tamaño.	masculine
blogger	And, PLEASE, if you are a "no-reply comment" blogger, you must leave an email address in your comment.	female_embedding_list	C4	Und, BITTE, wenn Sie ein "nicht antworten Kommentar" Blogger sind, müssen Sie eine E-Mail-Adresse in Ihrem Kommentar hinterlassen.	masculine	Y, por favor, si eres un blogger de "no responder comentarios", debes dejar una dirección de correo electrónico en tu comentario.	masculine	Und, BITTE, wenn Sie eine "nicht antworten Kommentar" Bloggerin sind, müssen Sie eine E-Mail-Adresse in Ihrem Kommentar hinterlassen.	feminine	Y, por favor, si eres una blogger de "no responder comentarios", debes dejar una dirección de correo electrónico en tu comentario.	feminine
investigator	Another investigator has worked with equine cadavers to quantify bend, and there is at least 2 degrees of movement available between each thoracic vertebra in a deceased horse.	LLM_male_list	C4	Ein anderer Ermittler hat mit Pferdekadavern gearbeitet, um Biegung zu quantifizieren, und es gibt mindestens 2 Grad Bewegung zwischen jedem Brustwirbel in einem verstorbenen Pferd.	masculine	Otro investigador ha trabajado con cadáveres equinos para cuantificar la curva, y hay al menos 2 grados de movimiento disponibles entre cada vértebra torácica en un caballo fallecido.	masculine	Eine andere Ermittlerin hat mit Pferdekadavern gearbeitet, um Biegung zu quantifizieren, und es gibt mindestens 2 Grad Bewegung zwischen jedem Brustwirbel in einem verstorbenen Pferd.	feminine	Otra investigadora ha trabajado con cadáveres equinos para cuantificar la curva, y hay al menos 2 grados de movimiento disponibles entre cada vértebra torácica en un caballo fallecido.	feminine
publisher	In 2002, I worked for a New York City book publisher doing a job I hated.	LLM_male_list	C4	2002 arbeitete ich für einen New Yorker Buchverlag, der einen Job machte, den ich hasste.	neutral	En 2002, trabajé para un editor de libros de la ciudad de Nueva York haciendo un trabajo que odiaba.	masculine	2002 arbeitete ich für einen New Yorker Buchverlag, der einen Job machte, den ich hasste.	neutral	En 2002, trabajé para una editora de libros de la ciudad de Nueva York haciendo un trabajo que odiaba.	feminine
philosopher	The philosopher, it turns out, got it backward.	male_embedding_list	C4	Der Philosoph, wie sich herausstellte, hat es rückwärts gebracht.	masculine	El filósofo, resulta, lo consiguió hacia atrás.	masculine	Die Philosophin, wie sich herausstellte, hat es rückwärts gebracht.	feminine	La filósofa, resulta, lo consiguió hacia atrás.	feminine
leader	As a leader, you must have an explicit purpose and vision for yourself, your team, and your mission.	male_embedding_list	C4	Als Anführer müssen Sie einen expliziten Zweck und eine Vision für sich selbst, Ihr Team und Ihre Mission haben.	masculine	Como líder, debes tener un propósito y una visión explícitos para ti, tu equipo y tu misión.	masculine	Als Anführerin müssen Sie einen expliziten Zweck und eine Vision für sich selbst, Ihr Team und Ihre Mission haben.	feminine	Como lideresa, debes tener un propósito y una visión explícitos para ti, tu equipo y tu misión.	feminine
editor	It was a rag, but the editor taught me one important lesson.	female_embedding_list	OpenSubtitles	Es war ein Lappen, aber der Redakteur hat mir eine wichtige Lektion erteilt.	masculine	Era un trapo, pero el editor me enseñó una lección importante.	masculine	Es war ein Lappen, aber die Redakteurin hat mir eine wichtige Lektion erteilt.	feminine	Era un trapo, pero la editora me enseñó una lección importante.	feminine
developer	You could visit FPT - Best Music Apps's website to know more about the company/developer who developed this.	male_embedding_list	C4	Besuchen Sie die Website von FPT - Best Music Apps, um mehr über das Unternehmen/Entwickler zu erfahren, der dies entwickelt hat.	masculine	Puedes visitar el sitio web de FPT - Best Music Apps para saber más sobre la empresa/desarrollador que desarrolló esto.	masculine	Besuchen Sie die Website von FPT - Best Music Apps, um mehr über das Unternehmen/Entwicklerin zu erfahren, die dies entwickelt hat.	feminine	Puedes visitar el sitio web de FPT - Best Music Apps para saber más sobre la empresa/desarrolladora que desarrolló esto.	feminine
client	Uh, my client would like to plead guilty, Your Honour.	LLM_neutral_list	OpenSubtitles	Mein Mandant möchte sich schuldig bekennen, Euer Ehren.	masculine	A mi cliente le gustaría declararse culpable, Su Señoría.	masculine	Meine Mandantin möchte sich schuldig bekennen, Euer Ehren.	feminine	A mi clienta le gustaría declararse culpable, Su Señoría.	feminine
leader	I' m no leader, I never was!	male_embedding_list	OpenSubtitles	Ich bin kein Anführer, ich war es nie!	masculine	¡No soy líder, nunca lo fui!	masculine	Ich bin keine Anführerin, ich war es nie!	feminine	¡No soy lideresa, nunca la fui!	feminine
helper	His plan allowed for an in-home helper who came every day to get Agnes up and be a personal assistant and to assist Agnes in performing her activities of daily living – grooming, toileting, dressing, eating, walking and whatever else was needed.	LLM_neutral_list	C4	Sein Plan erlaubte es einem Haushelfer, der jeden Tag kam, um Agnes aufzuholen und eine persönliche Assistentin zu sein und Agnes bei der Durchführung ihrer täglichen Aktivitäten zu helfen – Pflege, Toiletten, Ankleiden, Essen, Gehen und was sonst noch nötig war.	masculine	Su plan permitió que un ayudante en el hogar que venía todos los días para levantar a Agnes y ser una asistente personal y ayudar a Agnes en la realización de sus actividades de la vida diaria - aseo, aseo, vestirse, comer, caminar y lo que fuera necesario.	masculine	Sein Plan erlaubte es einer Haushelferin, die jeden Tag kam, um Agnes aufzuholen und eine persönliche Assistentin zu sein und Agnes bei der Durchführung ihrer täglichen Aktivitäten zu helfen – Pflege, Toiletten, Ankleiden, Essen, Gehen und was sonst noch nötig war.	feminine	Su plan permitió que una ayudante en el hogar que venía todos los días para levantar a Agnes y ser una asistente personal y ayudar a Agnes en la realización de sus actividades de la vida diaria - aseo, aseo, vestirse, comer, caminar y lo que fuera necesario.	feminine
blogger	Did blogging books change the game for me as a new blogger?	female_embedding_list	C4	Hat Blogging Bücher das Spiel für mich als neuer Blogger verändert?	masculine	¿Los libros de blogueo cambiaron el juego para mí como un nuevo blogger?	masculine	Hat Blogging Bücher das Spiel für mich als neue Bloggerin verändert?	feminine	¿Los libros de blogueo cambiaron el juego para mí como una nueva blogger?	feminine
firefighter	I wear kevlar laces that have lasted me through two pairs of boots, under the daily demand of work as a forester and wildland firefighter!	LLM_male_list	C4	Ich trage Kevlar-Schnüren, die mich durch zwei Paar Stiefel durchgehalten haben, unter der täglichen Forderung der Arbeit als Förster und Wildland Feuerwehrmann!	masculine	¡Llevo cordones de kevlar que me han durado a través de dos pares de botas, bajo la demanda diaria de trabajo como bombero forestal y salvaje!	masculine	Ich trage Kevlar-Schnüren, die mich durch zwei Paar Stiefel durchgehalten haben, unter der täglichen Forderung der Arbeit als Försterin und Wildland Feuerwehrfrau!	feminine	¡Llevo cordones de kevlar que me han durado a través de dos pares de botas, bajo la demanda diaria de trabajo como bombera forestal y salvaje!	feminine
adult	As an adult, I had settled in my heart that my dad was no longer a part of my life and I had to move on.	LLM_neutral_list	C4	Als Erwachsener hatte ich mich in meinem Herzen niedergelassen, dass mein Vater nicht mehr ein Teil meines Lebens war und ich weiterziehen musste.	masculine	Como adulto, me había establecido en mi corazón que mi padre ya no era parte de mi vida y tenía que seguir adelante.	masculine	Als Erwachsene hatte ich mich in meinem Herzen niedergelassen, dass mein Vater nicht mehr ein Teil meines Lebens war und ich weiterziehen musste.	feminine	Como adulta, me había establecido en mi corazón que mi padre ya no era parte de mi vida y tenía que seguir adelante.	feminine
amateur	Whether you’re an amateur or a professional athlete, it is always important to protect your body from injury and stay healthy.	female_embedding_list	C4	Egal, ob Sie Amateur oder Profi-Sportler sind, es ist immer wichtig, Ihren Körper vor Verletzungen zu schützen und gesund zu bleiben.	masculine	Si usted es un aficionado o un atleta profesional, siempre es importante proteger su cuerpo de lesiones y mantenerse saludable.	masculine	Egal, ob Sie Amateurin oder Profi-Sportlerin sind, es ist immer wichtig, Ihren Körper vor Verletzungen zu schützen und gesund zu bleiben.	feminine	Si usted es una aficionada o una atleta profesional, siempre es importante proteger su cuerpo de lesiones y mantenerse saludable.	feminine
buddy	It' s just not worth it, buddy.	male_embedding_list	OpenSubtitles	Das ist es einfach nicht wert, Kumpel.	masculine	No vale la pena, amigo.	masculine	Das ist es einfach nicht wert, Kumpelin.	feminine	No vale la pena, amiga.	feminine
enthusiast	I'm a coffee drinker, vintage lover, plant grower, nature enthusiast, nomadic wanderer, and Catholic newbie!	LLM_neutral_list	C4	Ich bin Kaffeetrinker, Vintage-Liebhaber, Pflanzenzüchter, Naturliebhaber, Nomadenwanderer und katholischer Neuling!	masculine	¡Soy un bebedor de café, amante de la vendimia, cultivador de plantas, entusiasta de la naturaleza, nómada y novato católico!	masculine	Ich bin Kaffeetrinkerin, Vintage-Liebhaberin, Pflanzenzüchter, Naturliebhaberin, Nomadenwanderin und katholischer Neuling!	feminine	¡Soy una bebedora de café, amante de la vendimia, cultivadora de plantas, entusiasta de la naturaleza, nómada y novata católica!	feminine
hairdresser	Instead large tears roll down my cheeks as the hairdresser makes my Rapunzel locks more manageable.	female_embedding_list	C4	Stattdessen rollen große Tränen meine Wangen hinunter, da der Friseur meine Rapunzel-Schlösser überschaubarer macht.	masculine	En vez de eso, grandes lágrimas bajan por mis mejillas mientras la peluquera hace que mis cerraduras Rapunzel sean más manejables.	feminine	Stattdessen rollen große Tränen meine Wangen hinunter, da die Friseurin meine Rapunzel-Schlösser überschaubarer macht.	feminine	En vez de eso, grandes lágrimas bajan por mis mejillas mientras el peluquero hace que mis cerraduras Rapunzel sean más manejables.	masculine
novelist	I always figured someday I’d be a novelist in my own right.	LLM_female_list	C4	Ich dachte immer, eines Tages wäre ich selbst ein Schriftsteller.	masculine	Siempre pensé que algún día sería novelista por derecho propio.	neutral	Ich dachte immer, eines Tages wäre ich selbst eine Schriftstellerin.	feminine	Siempre pensé que algún día sería novelista por derecho propio.	neutral
financier	In this heartfelt mystery-thriller, you’ll join a lovely cellist and her hunky lawyer as they battle a psycho murderer, a meddling maven, and a corrupt financier.	male_embedding_list	C4	In diesem innigen Mysteriums-Thriller gesellst du dich zu einem netten Cellisten und ihrem hunkigen Anwalt, während sie gegen einen Psychomörder, einen einmischenden Maven und einen korrupten Finanzier kämpfen.	masculine	En este sincero misterio-triller, te unirás a una encantadora violonchelista y a su adorable abogado mientras luchan contra un asesino psicópata, un entrometido maven, y un financiero corrupto.	masculine	In diesem innigen Mysteriums-Thriller gesellst du dich zu einem netten Cellisten und ihrem hunkigen Anwalt, während sie gegen einen Psychomörder, einen einmischenden Maven und eine korrupte Finanzierin kämpfen.	feminine	En este sincero misterio-triller, te unirás a una encantadora violonchelista y a su adorable abogado mientras luchan contra un asesino psicópata, un entrometido maven, y una financiera corrupta.	feminine
student	The long hours of training endured by the student of martial arts no doubt produce a disorientation of the senses not entirely dissimilar to that experienced by Burroughs and Gysin during their drug-fueled language experiments.	female_embedding_list	C4	Die langen Stunden der Ausbildung durch den Schüler der Kampfkunst erdulden zweifellos eine Desorientierung der Sinne nicht völlig unähnlich, wie von Burroughs und Gysin während ihrer drogenbetriebenen Sprachexperimente erlebt.	masculine	Las largas horas de entrenamiento soportadas por el estudiante de artes marciales sin duda producen una desorientación de los sentidos no totalmente diferente a la experimentada por Burroughs y Gysin durante sus experimentos de lenguaje alimentado con drogas.	masculine	Die langen Stunden der Ausbildung durch die Schülerin der Kampfkunst erdulden zweifellos eine Desorientierung der Sinne nicht völlig unähnlich, wie von Burroughs und Gysin während ihrer drogenbetriebenen Sprachexperimente erlebt.	feminine	Las largas horas de entrenamiento soportadas por la estudiante de artes marciales sin duda producen una desorientación de los sentidos no totalmente diferente a la experimentada por Burroughs y Gysin durante sus experimentos de lenguaje alimentado con drogas.	feminine
player	The penniless sitar player' s sitar is magical.	male_embedding_list	OpenSubtitles	Die Sitar des mittellosen Sitarspielers ist magisch.	masculine	El sitar del jugador sin dinero es mágico.	masculine	Die Sitar der mittellosen Sitarspielerin ist magisch.	feminine	El sitar de la jugadora sin dinero es mágico.	feminine
friend	Whoa, days have slid past me since I last posted, like driving to Ottawa to collect a friend who flew in from Calgary and who is currently staying with me and somehow, the days are flying past faster than I can manage to keep up.	LLM_neutral_list	C4	Whoa, Tage sind an mir vorbei gerutscht, seit ich das letzte Mal gepostet habe, wie das Fahren nach Ottawa, um einen Freund zu sammeln, der aus Calgary eingeflogen ist und der derzeit bei mir bleibt und irgendwie, die Tage fliegen schneller vorbei, als ich es schaffen kann, mitzuhalten.	masculine	Guau, han pasado días desde la última vez que publiqué, como conducir a Ottawa para recoger a un amigo que voló desde Calgary y que actualmente se está quedando conmigo y de alguna manera, los días están volando más rápido de lo que puedo mantenerme al día.	masculine	Whoa, Tage sind an mir vorbei gerutscht, seit ich das letzte Mal gepostet habe, wie das Fahren nach Ottawa, um eine Freundin zu sammeln, die aus Calgary eingeflogen ist und die derzeit bei mir bleibt und irgendwie, die Tage fliegen schneller vorbei, als ich es schaffen kann, mitzuhalten.	feminine	Guau, han pasado días desde la última vez que publiqué, como conducir a Ottawa para recoger a una amiga que voló desde Calgary y que actualmente se está quedando conmigo y de alguna manera, los días están volando más rápido de lo que puedo mantenerme al día.	feminine
expert	And since when did you become the expert?.	LLM_neutral_list	OpenSubtitles	Und seit wann bist du der Experte geworden?.	masculine	¿Y desde cuándo te convertiste en el experto?.	masculine	Und seit wann bist du die Expertin geworden?.	feminine	¿Y desde cuándo te convertiste en la experta?.	feminine
architect	Meanwhile, Gus, you need to find out who the architect is of the bank... and see if you can get a floor plan or a model.	male_embedding_list	OpenSubtitles	Währenddessen, Gus, musst du herausfinden, wer der Architekt der Bank ist... und sehen, ob du einen Grundriss oder ein Modell bekommst.	masculine	Mientras tanto, Gus, tienes que averiguar quién es el arquitecto del banco... y ver si puedes conseguir un plano o un modelo.	masculine	Währenddessen, Gus, musst du herausfinden, wer die Architektin der Bank ist... und sehen, ob du einen Grundriss oder ein Modell bekommst.	feminine	Mientras tanto, Gus, tienes que averiguar quién es la arquitecta del banco... y ver si puedes conseguir un plano o un modelo.	feminine
teen	After skimming a book on mechanics, the struggling teen is able to build a motorized vehicle for work to replace an exhausting wooden pushcart.	female_embedding_list	C4	Nach dem Abschäumen eines Buches über Mechanik ist der kämpfende Teenager in der Lage, ein motorisiertes Fahrzeug für die Arbeit zu bauen, um einen anstrengenden hölzernen Schubkarren zu ersetzen.	masculine	Después de esquiar un libro sobre mecánica, el adolescente luchador es capaz de construir un vehículo motorizado para el trabajo para reemplazar una carretilla de madera agotadora.	masculine	Nach dem Abschäumen eines Buches über Mechanik ist die kämpfende Teenagerin in der Lage, ein motorisiertes Fahrzeug für die Arbeit zu bauen, um einen anstrengenden hölzernen Schubkarren zu ersetzen.	feminine	Después de esquiar un libro sobre mecánica, la adolescente luchadora es capaz de construir un vehículo motorizado para el trabajo para reemplazar una carretilla de madera agotadora.	feminine
champion	The UFC is expanding, all the way from UFC 193 being held in Melbourne, Australia to now having its first ever UFC champion.	male_embedding_list	C4	Die UFC expandiert, von der UFC 193 in Melbourne, Australien, bis zu ihrem ersten UFC-Champion.	masculine	La UFC se está expandiendo, desde que UFC 193 se celebró en Melbourne, Australia, hasta que ahora tiene su primer campeón de UFC.	masculine	Die UFC expandiert, von der UFC 193 in Melbourne, Australien, bis zu ihrer ersten UFC-Champion.	feminine	La UFC se está expandiendo, desde que UFC 193 se celebró en Melbourne, Australia, hasta que ahora tiene su primera campeona de UFC.	feminine
athlete	Your first goal should be to enjoy thoroughly the activity you pursue, and if you are a focused "one-sport" endurance athlete, to add variety and find alternate forms of exercise that you can fall back upon in times of injury.	LLM_male_list	C4	Ihr erstes Ziel sollte sein, die Aktivität, die Sie verfolgen, gründlich zu genießen, und wenn Sie ein konzentrierter "One-Sport" Ausdauersportler sind, um Abwechslung hinzuzufügen und alternative Formen der Übung zu finden, auf die Sie in Zeiten der Verletzung zurückfallen können.	masculine	Su primer objetivo debe ser disfrutar a fondo de la actividad que usted persigue, y si usted es un atleta de resistencia "un deporte" centrado, para agregar variedad y encontrar formas alternativas de ejercicio que usted puede caer sobre en tiempos de lesión.	masculine	Ihr erstes Ziel sollte sein, die Aktivität, die Sie verfolgen, gründlich zu genießen, und wenn Sie eine konzentrierte "One-Sport" Ausdauersportlerin sind, um Abwechslung hinzuzufügen und alternative Formen der Übung zu finden, auf die Sie in Zeiten der Verletzung zurückfallen können.	feminine	Su primer objetivo debe ser disfrutar a fondo de la actividad que usted persigue, y si usted es una atleta de resistencia "un deporte" centrado, para agregar variedad y encontrar formas alternativas de ejercicio que usted puede caer sobre en tiempos de lesión.	feminine
therapist	Visiting our oral health therapist every 6 months is an important step towards preventing the build-up of plaque and other oral health issues.	female_embedding_list	C4	Der Besuch unseres oralen Gesundheitstherapeuten alle 6 Monate ist ein wichtiger Schritt zur Verhinderung des Aufbaus von Plaque und anderen Problemen der oralen Gesundheit.	masculine	Visitar a nuestro terapeuta de salud bucal cada 6 meses es un paso importante para prevenir la acumulación de placa y otros problemas de salud bucal.	masculine	Der Besuch unserer oralen Gesundheitstherapeutin alle 6 Monate ist ein wichtiger Schritt zur Verhinderung des Aufbaus von Plaque und anderen Problemen der oralen Gesundheit.	feminine	Visitar a nuestra terapeuta de salud bucal cada 6 meses es un paso importante para prevenir la acumulación de placa y otros problemas de salud bucal.	feminine
patient	Caring for you as more than a patient, spending time with you, understanding your concerns and desires, and earning your trust are all part of our goal."	LLM_neutral_list	C4	Sich um dich als mehr als einen Patienten zu kümmern, Zeit mit dir zu verbringen, deine Sorgen und Wünsche zu verstehen und dein Vertrauen zu verdienen, gehört zu unserem Ziel."	masculine	Cuidar de usted como algo más que un paciente, pasar tiempo con usted, entender sus preocupaciones y deseos, y ganarse su confianza son parte de nuestra meta."	masculine	Sich um dich als mehr als eine Patientin zu kümmern, Zeit mit dir zu verbringen, deine Sorgen und Wünsche zu verstehen und dein Vertrauen zu verdienen, gehört zu unserem Ziel."	feminine	Cuidar de usted como algo más que una paciente, pasar tiempo con usted, entender sus preocupaciones y deseos, y ganarse su confianza son parte de nuestra meta."	feminine
enemy	I think surgeons in the two subspecialties are realizing that neither is the enemy of the other."	male_embedding_list	C4	Ich denke, dass Chirurgen in den beiden Unterspezialitäten erkennen, dass weder der Feind des anderen ist."	masculine	Creo que los cirujanos de las dos subespecialidades se están dando cuenta de que ninguno de los dos es enemigo del otro".	masculine	Ich denke, dass Chirurgen in den beiden Unterspezialitäten erkennen, dass weder die Feindin des anderen ist."	feminine	Creo que los cirujanos de las dos subespecialidades se están dando cuenta de que ninguna de los dos es enemiga del otro".	feminine
chief	The chief continued by saying that we must all eat this chicken and it will give us the strength to finish our work in the village.	male_embedding_list	C4	Der Häuptling fuhr fort zu sagen, dass wir alle dieses Huhn essen müssen, und es wird uns die Kraft geben, unsere Arbeit im Dorf zu beenden.	masculine	El jefe continuó diciendo que todos debemos comer este pollo y nos dará la fuerza para terminar nuestro trabajo en la aldea.	masculine	Die Stammesführerin fuhr fort zu sagen, dass wir alle dieses Huhn essen müssen, und es wird uns die Kraft geben, unsere Arbeit im Dorf zu beenden.	feminine	La jefa continuó diciendo que todos debemos comer este pollo y nos dará la fuerza para terminar nuestro trabajo en la aldea.	feminine
publisher	It is officially the "biggest day one digital release" for the publisher, which toppled the franchise record set last year by Call of Duty WWII.	LLM_male_list	C4	Es ist offiziell der "größte Tag ein digitales Release" für den Verlag, der den im vergangenen Jahr von Call of Duty WWII aufgestellten Franchise-Rekord gestürzt hat.	neutral	Es oficialmente el "release digital más grande del primer día" para el editor, que derrocó el récord de franquicia establecido el año pasado por Call of Duty WWII.	masculine	Es ist offiziell der "größte Tag ein digitales Release" für den Verlag, der den im vergangenen Jahr von Call of Duty WWII aufgestellten Franchise-Rekord gestürzt hat.	neutral	Es oficialmente el "release digital más grande del primer día" para la editora, que derrocó el récord de franquicia establecido el año pasado por Call of Duty WWII.	feminine
expert	I' m the expert who would love to kiss his murderers.	LLM_neutral_list	OpenSubtitles	Ich bin der Experte, der gerne seine Mörder küssen würde.	masculine	Soy el experto al que le encantaría besar a sus asesinos.	masculine	Ich bin die Expertin, die gerne ihre Mörder küssen würde.	feminine	Soy la experta a la que le encantaría besar a sus asesinos.	feminine
nomad	It’s an odd feeling to have as I’m no longer a nomad, and it’s all because of the weather.	LLM_neutral_list	C4	Es ist ein seltsames Gefühl zu haben, wie ich nicht mehr ein Nomad bin, und es ist alles wegen des Wetters.	masculine	Es una sensación extraña de tener ya que ya no soy nómada, y todo es por el clima.	masculine	Es ist ein seltsames Gefühl zu haben, wie ich nicht mehr eine Nomadin bin, und es ist alles wegen des Wetters.	feminine	Es una sensación extraña de tener ya que ya no soy nómada, y todo es por el clima.	feminine
firefighter	The BFAB is a program of the Stephen Siller Tunnel to Towers Foundation, named for the FDNY firefighter killed during the 9/11 attack on the World Trade Center.	LLM_male_list	C4	Die BFAB ist ein Programm der Stephen Siller Tunnel to Towers Foundation, benannt nach dem FDNY Feuerwehrmann, der während des 9/11 Angriffs auf das World Trade Center getötet wurde.	masculine	El BFAB es un programa del Túnel Stephen Siller a la Fundación Towers, llamado así por el bombero de la FDNY muerto durante el ataque del 11 de septiembre en el World Trade Center.	masculine	Die BFAB ist ein Programm der Stephen Siller Tunnel to Towers Foundation, benannt nach der FDNY Feuerwehrfrau, die während des 9/11 Angriffs auf das World Trade Center getötet wurde.	feminine	El BFAB es un programa del Túnel Stephen Siller a la Fundación Towers, llamado así por la bombera de la FDNY muerta durante el ataque del 11 de septiembre en el World Trade Center.	feminine
friend	I know you miss your dog and your best friend... but we' re going home tomorrow... and Spot and Scott' il be there waitin 'for you... and everything' s gonna be peachy- pie normal... and just the way it was.	LLM_neutral_list	OpenSubtitles	Ich weiß, du vermisst deinen Hund und deinen besten Freund, aber wir gehen morgen nach Hause und Spot und Scott warten dort auf dich... und alles wird lecker sein... Kuchen normal... und so, wie es war.	masculine	Sé que echas de menos a tu perro y a tu mejor amigo... pero mañana nos vamos a casa... y Spot y Scott estarán ahí esperándote... y todo va a ser normal... y como estaba.	masculine	Ich weiß, du vermisst deinen Hund und deine beste Freundin, aber wir gehen morgen nach Hause und Spot und Scott warten dort auf dich... und alles wird lecker sein... Kuchen normal... und so, wie es war.	feminine	Sé que echas de menos a tu perro y a tu mejora amiga... pero mañana nos vamos a casa... y Spot y Scott estarán ahí esperándote... y todo va a ser normal... y como estaba.	feminine
hairdresser	It' s very stressful being a hairdresser, people expect a lot from you and sometimes you can' t stand the pressure.	female_embedding_list	OpenSubtitles	Es ist sehr stressig, Friseur zu sein, die Leute erwarten viel von dir und manchmal kann man den Druck nicht ertragen.	masculine	Es muy estresante ser peluquero, la gente espera mucho de ti y a veces no puedes soportar la presión.	masculine	Es ist sehr stressig, Friseurin zu sein, die Leute erwarten viel von dir und manchmal kann man den Druck nicht ertragen.	feminine	Es muy estresante ser peluquera, la gente espera mucho de ti y a veces no puedes soportar la presión.	feminine
soldier	A fine soldier you are, bested by a bedtime story.	male_embedding_list	OpenSubtitles	Ein feiner Soldat, der von einer Gute-Nacht-Geschichte bestochen wird.	masculine	Eres un buen soldado, superado por un cuento para dormir.	masculine	Eine feine Soldatin, die von einer Gute-Nacht-Geschichte bestochen wird.	feminine	Eres una buena soldado, superada por un cuento para dormir.	feminine
captain	Whatever verdict is delivered in the trial of the Italian sea captain for the shipwreck of the Costa Concordia cruise liner and for the deaths of 32 people, survivors and victims’ families already are wondering if justice will be done.	male_embedding_list	C4	Was auch immer Urteil im Prozess von dem italienischen Seekapitän für das Schiffwrack von dem Kreuzfahrtschiff Costa Concordia und für den Tod von 32 Menschen, Überlebenden und Opfern abgegeben wird, fragen sich bereits, ob Gerechtigkeit getan wird.	masculine	Cualquiera que sea el veredicto emitido en el juicio del capitán de mar italiano por el naufragio del crucero Costa Concordia y por la muerte de 32 personas, sobrevivientes y familiares de las víctimas ya se preguntan si se hará justicia.	masculine	Was auch immer Urteil im Prozess von der italienischen Seekapitänin für das Schiffwrack von dem Kreuzfahrtschiff Costa Concordia und für den Tod von 32 Menschen, Überlebenden und Opfern abgegeben wird, fragen sich bereits, ob Gerechtigkeit getan wird.	feminine	Cualquiera que sea el veredicto emitido en el juicio de la capitana de mar italiano por el naufragio del crucero Costa Concordia y por la muerte de 32 personas, sobrevivientes y familiares de las víctimas ya se preguntan si se hará justicia.	feminine
senior	The senior ate up 51 yards of the game-opening 78-yard drive on nine carries, the last a 1-yard run to give the Bulldogs a 7-0 lead midway through the first quarter.	female_embedding_list	C4	Der Senior aß 51 Yards des Spiels öffnenden 78-Yard-Laufwerk auf neun trägt, der letzte 1-Yard-Lauf, um den Bulldogs eine 7-0 Führung auf halbem Weg durch das erste Quartal zu geben.	masculine	El senior se comió 51 yardas de la jornada de apertura de 78 yardas en nueve portas, la última una carrera de 1 yarda para dar a los Bulldogs una ventaja de 7-0 a mitad de camino a través del primer trimestre.	masculine	Die Seniorin aß 51 Yards des Spiels öffnenden 78-Yard-Laufwerk auf neun trägt, der letzte 1-Yard-Lauf, um den Bulldogs eine 7-0 Führung auf halbem Weg durch das erste Quartal zu geben.	feminine	La senior se comió 51 yardas de la jornada de apertura de 78 yardas en nueve portas, la última una carrera de 1 yarda para dar a los Bulldogs una ventaja de 7-0 a mitad de camino a través del primer trimestre.	feminine
clerk	The clerk gave the suspect an undisclosed amount of money.	female_embedding_list	C4	Der Sachbearbeiter gab dem Verdächtigen eine ungeklärte Menge Geld.	masculine	El empleado le dio al sospechoso una cantidad de dinero no revelada.	masculine	Die Sachbearbeiterin gab dem Verdächtigen eine ungeklärte Menge Geld.	feminine	La empleada le dio al sospechoso una cantidad de dinero no revelada.	feminine
