ID_GAND_CT	ID_GAND	referent	EN_source_sentence	referent_embedding	sentence_source	OPUS_DE_translation	DE_gender	OPUS_ES_translation	ES_gender	DE_contrastive_TR	DE_contrastive_gender	ES_contrastive_TR	ES_contrastive_gender
151	3183	master	The harbor- master says you' re bringing in a cruise liner.	male_embedding_list	OpenSubtitles	Der Hafenmeister sagt, Sie bringen ein Kreuzfahrtschiff.	masculine	El capitán del puerto dice que traes un crucero.	masculine	Die Hafenmeisterin sagt, Sie bringen ein Kreuzfahrtschiff.	feminine	La capitana del puerto dice que traes un crucero.	feminine
152	2356	chef	The recent story about a pampered celebrity chef left me very annoyed.	LLM_female_list	C4	Die jüngste Geschichte über einen verwöhnten Promi-Koch hat mich sehr verärgert.	masculine	La historia reciente sobre un chef famoso mimado me dejó muy molesto.	masculine	Die jüngste Geschichte über eine verwöhnte Promi-Köchin hat mich sehr verärgert.	feminine	La historia reciente sobre una chef famosa mimada me dejó muy molesto.	feminine
153	4400	hero	Let' s talk about the real world... where you' re not some wonderful lone wolf hero, but you' re part of a team.	male_embedding_list	OpenSubtitles	Reden wir über die reale Welt, in der du kein wunderbarer einsamer Wolfsheld bist, aber Teil eines Teams bist.	masculine	Hablemos del mundo real... donde no eres un maravilloso héroe lobo solitario, pero eres parte de un equipo.	masculine	Reden wir über die reale Welt, in der du keine wunderbare einsame Wolfsheldin bist, aber Teil eines Teams bist.	feminine	Hablemos del mundo real... donde no eres una maravillosa heroína loba solitaria, pero eres parte de un equipo.	feminine
154	1899	designer	The designer did a terrific job meshing all components of the game into a fun, immersive experience.	female_embedding_list	C4	Der Designer hat einen tollen Job gemacht, alle Komponenten des Spiels in ein lustiges, immersives Erlebnis zu vernetzen.	masculine	El diseñador hizo un excelente trabajo mezclando todos los componentes del juego en una experiencia divertida e inmersiva.	masculine	Die Designerin hat einen tollen Job gemacht, alle Komponenten des Spiels in ein lustiges, immersives Erlebnis zu vernetzen.	feminine	La diseñadora hizo un excelente trabajo mezclando todos los componentes del juego en una experiencia divertida e inmersiva.	feminine
155	3032	hairdresser	And if I don' t see you at Canal Bar tomorrow night I' m gonna sic my hairdresser on you.	female_embedding_list	OpenSubtitles	Und wenn ich dich morgen Abend nicht in der Canal Bar sehe, werde ich meinen Friseur an dir versohlen.	masculine	Y si no te veo en el Canal Bar mañana por la noche voy a sic mi peluquero en usted.	masculine	Und wenn ich dich morgen Abend nicht in der Canal Bar sehe, werde ich meine Friseurin an dir versohlen.	feminine	Y si no te veo en el Canal Bar mañana por la noche voy a sic mi peluquera en usted.	feminine
156	1402	friend	Although you may develop a close trusted relationship with your therapist, your therapist is not a paid friend, but a mental health provider dedicated to helping you live a happier life.	LLM_neutral_list	C4	Obwohl Sie eine enge vertrauensvolle Beziehung zu Ihrem Therapeuten entwickeln können, ist Ihr Therapeut kein bezahlter Freund, sondern ein geistiger Gesundheitsdienstleister, der Ihnen hilft, ein glücklicheres Leben zu führen.	masculine	Aunque usted puede desarrollar una estrecha relación de confianza con su terapeuta, su terapeuta no es un amigo pagado, sino un proveedor de salud mental dedicado a ayudarle a vivir una vida más feliz.	masculine	Obwohl Sie eine enge vertrauensvolle Beziehung zu Ihrer Therapeutin entwickeln können, ist Ihre Therapeutin keine bezahlte Freundin, sondern eine geistige Gesundheitsdienstleisterin, die Ihnen hilft, ein glücklicheres Leben zu führen.	feminine	Aunque usted puede desarrollar una estrecha relación de confianza con su terapeuta, su terapeuta no es una amiga pagada, sino una proveedora de salud mental dedicada a ayudarle a vivir una vida más feliz.	feminine
157	148	guard	Sensing this, the creature left William and waddled for a while behind the second guard.	male_embedding_list	C4	Als die Kreatur das spürte, verließ sie William und wackelte eine Weile hinter der zweiten Wache.	neutral	Sintiendo esto, la criatura dejó a William y se fue por un tiempo detrás de la segunda guardia.	feminine	Als die Kreatur das spürte, verließ sie William und wackelte eine Weile hinter der zweiten Wache.	neutral	Sintiendo esto, la criatura dejó a William y se fue por un tiempo detrás del segundo guardia.	masculine
158	3076	buddy	No way I was going to use my gun on you, buddy	male_embedding_list	OpenSubtitles	Auf keinen Fall wollte ich meine Waffe gegen dich benutzen, Kumpel.	masculine	De ninguna manera iba a usar mi arma contra ti, amigo.	masculine	Auf keinen Fall wollte ich meine Waffe gegen dich benutzen, Kumpelin.	feminine	De ninguna manera iba a usar mi arma contra ti, amiga.	feminine
159	4698	seller	That' s the one, that' s the big seller.	female_embedding_list	OpenSubtitles	Das ist es, das ist der große Verkäufer.	masculine	Esa es la única, esa es la gran vendedora.	feminine	Das ist es, das ist die große Verkäuferin.	feminine	Ese es el único, ese es el gran vendedor.	masculine
160	3160	chef	The leading banker in Amsterdam is now the pastry chef here.	LLM_female_list	OpenSubtitles	Der führende Banker in Amsterdam ist jetzt der Konditorkoch hier.	masculine	El banquero líder en Amsterdam es ahora el chef de pastelería aquí.	masculine	Die führende Bankerin in Amsterdam ist jetzt die Konditorköchin hier.	feminine	La banquera líder en Amsterdam es ahora la chef de pastelería aquí.	feminine
161	766	researcher	In this instance the study made sure that the researcher was removed from the subjects.	LLM_male_list	C4	In diesem Fall stellte die Studie sicher, dass der Forscher von den Probanden entfernt wurde.	masculine	En este caso, el estudio se aseguró de que el investigador fuera retirado de los sujetos.	masculine	In diesem Fall stellte die Studie sicher, dass die Forscherin von den Probanden entfernt wurde.	feminine	En este caso, el estudio se aseguró de que la investigadora fuera retirada de los sujetos.	feminine
162	2348	chef	They said our audience was "powerfully enthusiastic and full of love", and our chef fixed them, and I quote, "the best dang food we ever had on a tour....nice to have some home cookin' for a change!"	LLM_female_list	C4	Sie sagten, unser Publikum sei "stark enthusiastisch und voller Liebe", und unser Küchenchef reparierte sie, und ich zitiere, "das beste Essen, das wir je auf einer Tour hatten....nice, um etwas zu Hause zu kochen für eine Abwechslung!"	masculine	Dijeron que nuestra audiencia era "poderosamente entusiasta y llena de amor", y nuestro chef los arregló, y cito, "la mejor comida de mierda que hemos tenido en una gira... ¡agradable tener algo de cocina casera para variar!"	masculine	Sie sagten, unser Publikum sei "stark enthusiastisch und voller Liebe", und unsere Küchenchefin reparierte sie, und ich zitiere, "das beste Essen, das wir je auf einer Tour hatten....nice, um etwas zu Hause zu kochen für eine Abwechslung!"	feminine	Dijeron que nuestra audiencia era "poderosamente entusiasta y llena de amor", y nuestra chef los arregló, y cito, "la mejor comida de mierda que hemos tenido en una gira... ¡agradable tener algo de cocina casera para variar!"	feminine
163	2364	chef	The chef and restaurateur spent the morning on the phone ("the plan has been approved") and expects the restaurant to reopen in much the same state it was before.	LLM_female_list	C4	Der Küchenchef und Gastronom verbrachten den Morgen am Telefon ("der Plan wurde genehmigt") und erwartet, dass das Restaurant in viel dem gleichen Zustand wiedereröffnet wird, wie es vorher war.	masculine	El chef y restaurador pasaron la mañana al teléfono ("el plan ha sido aprobado") y espera que el restaurante vuelva a abrir en el mismo estado que antes.	masculine	Die Küchenchefin und Gastronom verbrachten den Morgen am Telefon ("der Plan wurde genehmigt") und erwartet, dass das Restaurant in viel dem gleichen Zustand wiedereröffnet wird, wie es vorher war.	feminine	La chef y restaurador pasaron la mañana al teléfono ("el plan ha sido aprobado") y espera que el restaurante vuelva a abrir en el mismo estado que antes.	feminine
164	3935	editor	So, who is the editor, that you sent it...?	female_embedding_list	OpenSubtitles	Also, wer ist der Redakteur, den Sie geschickt haben...?	masculine	Entonces, ¿quién es el editor, que tú lo enviaste...?	masculine	Also, wer ist die Redakteurin, der Sie geschickt haben...?	feminine	Entonces, ¿quién es la editora, que tú lo enviaste...?	feminine
165	1964	economist	You were a young economist who wrote a book about the Soviet economy.	LLM_male_list	C4	Sie waren ein junger Ökonom, der ein Buch über die sowjetische Wirtschaft schrieb.	masculine	Eras un joven economista que escribió un libro sobre la economía soviética.	masculine	Sie waren eine junge Ökonomin, die ein Buch über die sowjetische Wirtschaft schrieb.	feminine	Eras una joven economista que escribió un libro sobre la economía soviética.	feminine
166	164	ally	I feel hollow interacting with a world that assumes I’m straight, that I’m not a member of the LGBTQ+ community, but an ally.	LLM_neutral_list	C4	Ich fühle mich hohl interagiert mit einer Welt, die davon ausgeht, dass ich gerade bin, dass ich kein Mitglied der LGBTQ+-Gemeinschaft bin, sondern ein Verbündeter.	masculine	Me siento hueca interactuando con un mundo que asume que soy hetero, que no soy miembro de la comunidad LGBTQ+, sino un aliado.	masculine	Ich fühle mich hohl interagiert mit einer Welt, die davon ausgeht, dass ich gerade bin, dass ich kein Mitglied der LGBTQ+-Gemeinschaft bin, sondern eine Verbündete.	feminine	Me siento hueca interactuando con un mundo que asume que soy hetero, que no soy miembro de la comunidad LGBTQ+, sino una aliada.	feminine
167	2472	wanderer	It dropped from the wanderer who patrols the caverns off Radir Fireshower's room.	LLM_neutral_list	C4	Es fiel von dem Wanderer, der die Höhlen vor Radir Fireshowers Zimmer patrouilliert.	masculine	Se cayó del vagabundo que patrulla las cavernas de la habitación de Radir Fireshower.	masculine	Es fiel von der Wanderin, die die Höhlen vor Radir Fireshowers Zimmer patrouilliert.	feminine	Se cayó de la vagabunda que patrulla las cavernas de la habitación de Radir Fireshower.	feminine
168	4716	neighbor	You have heard it said...... you shall love your neighbor and hate your enemy.	LLM_neutral_list	OpenSubtitles	Du hast gehört, dass es heißt... du sollst deinen Nächsten lieben und deinen Feind hassen.	masculine	Lo has oído decir...... Amarás a tu prójimo y odiarás a tu enemigo.	masculine	Du hast gehört, dass es heißt... du sollst deine Nächste lieben und deinen Feind hassen.	feminine	Lo has oído decir...... Amarás a tu prójima y odiarás a tu enemigo.	feminine
169	1007	gamer	Seriously, I’m all for entrepreneurialism, but as a grown gamer, I have to be frugal with my pennies.	LLM_neutral_list	C4	Ernsthaft, ich bin alles für Unternehmergeist, aber als erwachsener Spieler muss ich mit meinen Pennies frugal sein.	masculine	En serio, estoy a favor del emprendimiento, pero como jugador adulto, tengo que ser frugal con mis centavos.	masculine	Ernsthaft, ich bin alles für Unternehmergeist, aber als erwachsene Spielerin muss ich mit meinen Pennies frugal sein.	feminine	En serio, estoy a favor del emprendimiento, pero como jugadora adulta, tengo que ser frugal con mis centavos.	feminine
170	4880	partner	If it' s a choice between having you as a partner... or as a stalker.	LLM_neutral_list	OpenSubtitles	Wenn es eine Wahl ist, dich als Partner zu haben... oder als Stalker.	masculine	Si es una elección entre tenerte como compañero... o como acosador.	masculine	Wenn es eine Wahl ist, dich als Partnerin zu haben... oder als Stalkerin.	feminine	Si es una elección entre tenerte como compañera... o como acosadora.	feminine
171	2000	counselor	Your triage counselor will be happy to talk with you about treatment options.	female_embedding_list	C4	Ihr Triage Counselor wird gerne mit Ihnen über Behandlungsmöglichkeiten sprechen.	masculine	Su consejero de triaje estará encantado de hablar con usted sobre las opciones de tratamiento.	masculine	Ihre Triage Counselor wird gerne mit Ihnen über Behandlungsmöglichkeiten sprechen.	feminine	Su consejera de triaje estará encantada de hablar con usted sobre las opciones de tratamiento.	feminine
172	3615	gardener	I realize this might be a difficult question for you to answer...... but do you feel that we have...... in your words, a very good gardener in office...... at this time?	LLM_female_list	OpenSubtitles	Mir ist klar, dass dies eine schwierige Frage für Sie sein könnte... aber glauben Sie, dass wir... in Ihren Worten einen sehr guten Gärtner im Büro haben...... in dieser Zeit?	masculine	Me doy cuenta de que esta puede ser una pregunta difícil de responder... pero ¿siente que tenemos... en sus palabras, un muy buen jardinero en el cargo...... en este momento?	masculine	Mir ist klar, dass dies eine schwierige Frage für Sie sein könnte... aber glauben Sie, dass wir... in Ihren Worten eine sehr gute Gärtnerin im Büro haben...... in dieser Zeit?	feminine	Me doy cuenta de que esta puede ser una pregunta difícil de responder... pero ¿siente que tenemos... en sus palabras, una muy buena jardinera en el cargo...... en este momento?	feminine
173	1939	engineer	The dLive with its DEEP Processing is everything you need as an engineer.”	male_embedding_list	C4	Das dLive mit seiner DEEP-Verarbeitung ist alles, was Sie als Ingenieur brauchen.	masculine	El dLive con su procesamiento DEEP es todo lo que necesitas como ingeniero”.	masculine	Das dLive mit seiner DEEP-Verarbeitung ist alles, was Sie als Ingenieurin brauchen.	feminine	El dLive con su procesamiento DEEP es todo lo que necesitas como ingeniera”.	feminine
174	4056	photographer	How do you think this photographer got this shot?	LLM_male_list	OpenSubtitles	Wie hat dieser Fotograf wohl diese Aufnahme bekommen?	masculine	¿Cómo crees que este fotógrafo consiguió esta foto?	masculine	Wie hat diese Fotografin wohl diese Aufnahme bekommen?	feminine	¿Cómo crees que esta fotógrafa consiguió esta foto?	feminine
175	1148	chief	The chief said the Delray department is using a multi-faceted drug enforcement mode that includes “Good Samaritan” laws to encourage people to report adverse drug reactions.	male_embedding_list	C4	Der Chef sagte, die Delray-Abteilung ist mit einem vielseitigen Drogen-Durchsetzungsmodus, der    . Good Samaritan . . Gesetze, um Menschen zu ermutigen, unerwünschte Arzneimittelreaktionen zu melden.	masculine	El jefe dijo que el departamento de Delray está usando un modo multifacético de represión de drogas que incluye leyes de “Buen Samaritano” para animar a la gente a reportar reacciones adversas a las drogas.	masculine	Die Chefin sagte, die Delray-Abteilung ist mit einem vielseitigen Drogen-Durchsetzungsmodus, der    . Good Samaritan . . Gesetze, um Menschen zu ermutigen, unerwünschte Arzneimittelreaktionen zu melden.	feminine	La jefe dijo que el departamento de Delray está usando un modo multifacético de represión de drogas que incluye leyes de “Buen Samaritano” para animar a la gente a reportar reacciones adversas a las drogas.	feminine
176	980	homemaker	Yes, I wanted to be a teacher, but I also wanted to be a full-time homemaker.	female_embedding_list	C4	Ja, ich wollte Lehrerin werden, aber ich wollte auch Vollzeit-Hausfrau werden.	feminine	Sí, quería ser maestra, pero también quería ser ama de casa a tiempo completo.	feminine	Ja, ich wollte Lehrer werden, aber ich wollte auch Vollzeit-Hausmann werden.	masculine	Sí, quería ser maestro, pero también quería ser amo de casa a tiempo completo.	masculine
177	307	contractor	The house was built in 1860 and the contractor over the house renovation commissioned me to do some work on different parts of the house that needed some TLC.	male_embedding_list	C4	Das Haus wurde 1860 gebaut und der Bauunternehmer über das Haus Renovierung beauftragte mich, einige Arbeiten an verschiedenen Teilen des Hauses, die etwas TLC benötigt zu tun.	masculine	La casa fue construida en 1860 y el contratista sobre la renovación de la casa me encargó hacer algunos trabajos en diferentes partes de la casa que necesitaban un poco de TLC.	masculine	Das Haus wurde 1860 gebaut und die Bauunternehmerin über das Haus Renovierung beauftragte mich, einige Arbeiten an verschiedenen Teilen des Hauses, die etwas TLC benötigt zu tun.	feminine	La casa fue construida en 1860 y la contratista sobre la renovación de la casa me encargó hacer algunos trabajos en diferentes partes de la casa que necesitaban un poco de TLC.	feminine
178	1787	captain	The captain took us through the “Tunnel of Love” and then it was off to Marina Piccola.	male_embedding_list	C4	Der Kapitän führte uns durch den Tunnel der Liebe und dann ging es nach Marina Piccola.	masculine	El capitán nos llevó a través del “Túnel del Amor” y luego se fue a Marina Piccola.	masculine	Die Kapitänin führte uns durch den Tunnel der Liebe und dann ging es nach Marina Piccola.	feminine	La capitana nos llevó a través del “Túnel del Amor” y luego se fue a Marina Piccola.	feminine
179	1852	janitor	I am writing a cozy mystery where a janitor is poisoned by the killer who mixes cleaning products.	male_embedding_list	C4	Ich schreibe ein gemütliches Geheimnis, wo ein Hausmeister von dem Mörder vergiftet wird, der Reinigungsmittel mischt.	masculine	Estoy escribiendo un misterio acogedor donde un conserje es envenenado por el asesino que mezcla productos de limpieza.	masculine	Ich schreibe ein gemütliches Geheimnis, wo eine Hausmeisterin von dem Mörder vergiftet wird, der Reinigungsmittel mischt.	feminine	Estoy escribiendo un misterio acogedor donde una conserje es envenenado por el asesino que mezcla productos de limpieza.	feminine
180	4541	scientist	Pound for pound, this big lug' s the greatest scientist on the planet.	LLM_male_list	OpenSubtitles	Pfund für Pfund, dieser große Lug ist der größte Wissenschaftler auf dem Planeten.	masculine	Libra por libra, este gran matón es el mejor científico del planeta.	masculine	Pfund für Pfund, diese große Lug ist die größte Wissenschaftlerin auf dem Planeten.	feminine	Libra por libra, esta gran matona es la mejor científica del planeta.	feminine
181	2632	donor	Later she must have borrowed some more money from someone – or came by some more aid from a generous donor – China is courting Zimbabwe for its minerals – and the system has recommenced.	female_embedding_list	C4	Später muss sie sich etwas mehr Geld von jemandem geliehen haben – oder von einem großzügigen Spender mehr Hilfe erhalten – China pfändet Simbabwe für seine Mineralien – und das System hat wieder aufgenommen.	masculine	Más tarde debió pedir prestado algo más de dinero a alguien –o vino con más ayuda de un donante generoso– China está cortejando a Zimbabue por sus minerales, y el sistema se ha reanudado.	masculine	Später muss sie sich etwas mehr Geld von jemandem geliehen haben – oder von einer großzügigen Spenderin mehr Hilfe erhalten – China pfändet Simbabwe für seine Mineralien – und das System hat wieder aufgenommen.	feminine	Más tarde debió pedir prestado algo más de dinero a alguien –o vino con más ayuda de una donante generosa– China está cortejando a Zimbabue por sus minerales, y el sistema se ha reanudado.	feminine
182	2544	assistant	David Tennant stars as an anxious teacher who starts a new job at an under-achieving school and quickly finds himself struggling to cope with a wild classroom assistant, a group of under-performing kids and his own very pregnant wife.	female_embedding_list	C4	David Tennant ist ein ängstlicher Lehrer, der einen neuen Job an einer unerreichbaren Schule antritt und sich schnell mit einem wilden Klassenzimmerassistenten, einer Gruppe von leistungsschwachen Kindern und seiner eigenen sehr schwangeren Frau auseinandersetzt.	masculine	David Tennant protagoniza como un profesor ansioso que comienza un nuevo trabajo en una escuela de bajo rendimiento y rápidamente se encuentra luchando para hacer frente a un aula salvaje asistente, un grupo de niños con bajo rendimiento y su propia esposa muy embarazada.	neutral	David Tennant ist ein ängstlicher Lehrer, der einen neuen Job an einer unerreichbaren Schule antritt und sich schnell mit einer wilden Klassenzimmerassistentin, einer Gruppe von leistungsschwachen Kindern und seiner eigenen sehr schwangeren Frau auseinandersetzt.	feminine	David Tennant protagoniza como un profesor ansioso que comienza un nuevo trabajo en una escuela de bajo rendimiento y rápidamente se encuentra luchando para hacer frente a un aula salvaje asistente, un grupo de niños con bajo rendimiento y su propia esposa muy embarazada.	neutral
183	841	poet	If you’re a poet, I encourage you to find an open mic and read your poems aloud.	LLM_female_list	C4	Wenn du ein Dichter bist, ermutige ich dich, ein offenes Mikrofon zu finden und deine Gedichte laut zu lesen.	masculine	Si eres poeta, te animo a que encuentres un micrófono abierto y leas tus poemas en voz alta.	neutral	Wenn du eine Dichterin bist, ermutige ich dich, ein offenes Mikrofon zu finden und deine Gedichte laut zu lesen.	feminine	Si eres poeta, te animo a que encuentres un micrófono abierto y leas tus poemas en voz alta.	neutral
184	3620	musician	I have a friend, a jazz musician, trumpet player.	male_embedding_list	OpenSubtitles	Ich habe einen Freund, einen Jazzmusiker, Trompeter.	masculine	Tengo un amigo, un músico de jazz, un trompetista.	masculine	Ich habe eine Freundin, eine Jazzmusikerin, Trompeterin.	feminine	Tengo una amiga, una música de jazz, una trompetista.	feminine
185	2981	idiot	Only an idiot would ask Wolfie to work on that!	male_embedding_list	OpenSubtitles	Nur ein Idiot würde Wolfie bitten, daran zu arbeiten!	masculine	¡Sólo un idiota le pediría a Wolfie que trabajara en eso!	masculine	Nur eine Idiotin würde Wolfie bitten, daran zu arbeiten!	feminine	¡Sólo una idiota le pediría a Wolfie que trabajara en eso!	feminine
186	896	companion	There is no necessitate for you to dial the multitude and deliver a call and wait unless your companion lifts the phone.	LLM_neutral_list	C4	Es ist nicht erforderlich, dass Sie die Menge anwählen und einen Anruf abliefern und warten, es sei denn, Ihr Begleiter hebt das Telefon.	masculine	No hay necesidad de que usted marque la multitud y entregar una llamada y esperar a menos que su compañero levanta el teléfono.	masculine	Es ist nicht erforderlich, dass Sie die Menge anwählen und einen Anruf abliefern und warten, es sei denn, Ihre Begleiterin hebt das Telefon.	feminine	No hay necesidad de que usted marque la multitud y entregar una llamada y esperar a menos que su compañera levanta el teléfono.	feminine
187	1965	economist	I was an economist on the big, big, huge enterprises which were producing chemicals.	LLM_male_list	C4	Ich war Ökonom bei den großen, großen Unternehmen, die Chemikalien herstellten.	masculine	Yo era economista en las grandes, grandes, grandes empresas que producían productos químicos.	neutral	Ich war Ökonomin bei den großen, großen Unternehmen, die Chemikalien herstellten.	feminine	Yo era economista en las grandes, grandes, grandes empresas que producían productos químicos.	neutral
188	1083	hairdresser	I am a fully qualified time served hairdresser and colour technician with over 35 years experience in exclusive hair salons.	female_embedding_list	C4	Ich bin eine voll qualifizierte Zeit serviert Friseur und Farbtechniker mit über 35 Jahren Erfahrung in exklusiven Friseursalons.	masculine	Soy un peluquero y técnico de color totalmente cualificado con más de 35 años de experiencia en salones de belleza exclusivos.	masculine	Ich bin eine voll qualifizierte Zeit serviert Friseurin und Farbtechnikerin mit über 35 Jahren Erfahrung in exklusiven Friseursalons.	feminine	Soy una peluquera y técnica de color totalmente cualificada con más de 35 años de experiencia en salones de belleza exclusivos.	feminine
189	3202	master	I' ve heard the master do this speech before.	male_embedding_list	OpenSubtitles	Ich habe schon mal gehört, wie der Meister diese Rede gehalten hat.	masculine	He oído al maestro hacer este discurso antes.	masculine	Ich habe schon mal gehört, wie die Meisterin diese Rede gehalten hat.	feminine	He oído a la maestra hacer este discurso antes.	feminine
190	736	manager	I worked for Apple from 2000 to 2012, where I grew from an entry-level manager to senior director at age of 35, overseeing multibillion- dollar product lines as well as handling corporate social responsibilities.	male_embedding_list	C4	Ich arbeitete für Apple von 2000 bis 2012, wo ich wuchs von einem Einstieg-Level-Manager zu Senior Director im Alter von 35, Überwachung Multimilliarden-Dollar-Produktlinien sowie Umgang mit Corporate Social Responsibilities.	masculine	Trabajé para Apple de 2000 a 2012, donde crecí de gerente de nivel inicial a director senior a los 35 años, supervisando líneas de productos multimillonarias, así como manejando responsabilidades sociales corporativas.	masculine	Ich arbeitete für Apple von 2000 bis 2012, wo ich wuchs von einer Einstieg-Level-Managerin zu Senior Director im Alter von 35, Überwachung Multimilliarden-Dollar-Produktlinien sowie Umgang mit Corporate Social Responsibilities.	feminine	Trabajé para Apple de 2000 a 2012, donde crecí de gerente de nivel inicial a directora senior a los 35 años, supervisando líneas de productos multimillonarias, así como manejando responsabilidades sociales corporativas.	feminine
191	3234	colleague	I was showing off for a colleague who doesn' t think very much of me.	LLM_neutral_list	OpenSubtitles	Ich habe für einen Kollegen vorgeführt, der nicht viel von mir hält.	masculine	Estaba presumiendo para un colega que no piensa mucho en mí.	masculine	Ich habe für eine Kollegin vorgeführt, die nicht viel von mir hält.	feminine	Estaba presumiendo para una colega que no piensa mucho en mí.	feminine
192	2615	gardener	Salt of the earth you are and a damn good gardener !	LLM_female_list	C4	Salz der Erde sind Sie und ein verdammt guter Gärtner!	masculine	¡Sal de la tierra que eres y un maldito buen jardinero!	masculine	Salz der Erde sind Sie und eine verdammt gute Gärtnerin!	feminine	¡Sal de la tierra que eres y una maldita buena jardinera!	feminine
193	3931	editor	For some reason, my editor thinks you' re a story.	female_embedding_list	OpenSubtitles	Aus irgendeinem Grund hält mein Redakteur Sie für eine Geschichte.	masculine	Por alguna razón, mi editor cree que eres una historia.	masculine	Aus irgendeinem Grund hält meine Redakteurin Sie für eine Geschichte.	feminine	Por alguna razón, mi editora cree que eres una historia.	feminine
194	2243	teen	This holiday season, deliver the cool gift your tween or teen will use and appreciate.	female_embedding_list	C4	Diese Urlaubszeit, liefern Sie das coole Geschenk, das Sie zwischen oder Teenagern verwenden und schätzen werden.	masculine	Esta temporada de vacaciones, entregar el regalo fresco que su tween o adolescente va a utilizar y apreciar.	neutral	Diese Urlaubszeit, liefern Sie das coole Geschenk, das Sie zwischen oder Teenagern verwenden und schätzen werden.	neutral	Esta temporada de vacaciones, entregar el regalo fresco que su tween o adolescente va a utilizar y apreciar.	neutral
195	4672	secretary	Your secretary' s on the phone, line one.	female_embedding_list	OpenSubtitles	Ihre Sekretärin ist am Telefon, Leitung eins.	feminine	Tu secretaria está al teléfono, línea uno.	feminine	Ihr Sekretär ist am Telefon, Leitung eins.	masculine	Tu secretario está al teléfono, línea uno.	masculine
196	2609	cashier	Also, the cashier was very nice and helpful."	female_embedding_list	C4	Auch die Kassiererin war sehr nett und hilfsbereit."	feminine	Además, el cajero fue muy amable y servicial".	masculine	Auch der Kassierer war sehr nett und hilfsbereit."	masculine	Además, la cajera fue muy amable y servicial".	feminine
197	2068	mechanic	The inspection also took more than two hours since the mechanic had to do double takes when checking the transmission and the brakes as well.	male_embedding_list	C4	Die Inspektion dauerte auch mehr als zwei Stunden, da der Mechaniker bei der Kontrolle des Getriebes und der Bremsen auch doppelt nehmen musste.	masculine	La inspección también tomó más de dos horas ya que el mecánico tuvo que hacer tomas dobles al comprobar la transmisión y los frenos también.	masculine	Die Inspektion dauerte auch mehr als zwei Stunden, da die Mechanikerin bei der Kontrolle des Getriebes und der Bremsen auch doppelt nehmen musste.	feminine	La inspección también tomó más de dos horas ya que la mecánica tuvo que hacer tomas dobles al comprobar la transmisión y los frenos también.	feminine
198	1522	athlete	Our hearts are heavy this weekend after learning about the loss of a talented high school athlete in our community.	LLM_male_list	C4	Unsere Herzen sind dieses Wochenende schwer, nachdem wir über den Verlust eines talentierten High-School-Athleten in unserer Gemeinschaft erfahren haben.	masculine	Nuestros corazones son pesados este fin de semana después de aprender sobre la pérdida de un atleta talentoso de la escuela secundaria en nuestra comunidad.	masculine	Unsere Herzen sind dieses Wochenende schwer, nachdem wir über den Verlust einer talentierten High-School-Athletin in unserer Gemeinschaft erfahren haben.	feminine	Nuestros corazones son pesados este fin de semana después de aprender sobre la pérdida de una atleta talentosa de la escuela secundaria en nuestra comunidad.	feminine
199	4424	soldier	We need you to help recruit a very special soldier for us.	male_embedding_list	OpenSubtitles	Wir brauchen Sie, um einen besonderen Soldaten für uns zu rekrutieren.	masculine	Necesitamos que nos ayudes a reclutar a un soldado muy especial para nosotros.	masculine	Wir brauchen Sie, um eine besondere Soldatin für uns zu rekrutieren.	feminine	Necesitamos que nos ayudes a reclutar a una soldado muy especial para nosotros.	feminine
200	5029	client	You' re lucky, my other client hasn' t signed the bill of sale yet.	LLM_neutral_list	OpenSubtitles	Sie haben Glück, dass mein anderer Klient den Kaufvertrag noch nicht unterschrieben hat.	masculine	Tienes suerte, mi otro cliente aún no ha firmado la factura de venta.	masculine	Sie haben Glück, dass meine andere Klientin den Kaufvertrag noch nicht unterschrieben hat.	feminine	Tienes suerte, mi otra clienta aún no ha firmado la factura de venta.	feminine
201	3939	editor	The student body finds Van so intriguing... that my editor has asked me to do an exposé on him... for the school newspaper.	female_embedding_list	OpenSubtitles	Die Schülerschaft findet Van so faszinierend, dass mein Redakteur mich gebeten hat, ein Exposé über ihn zu machen... für die Schulzeitung.	masculine	El cuerpo estudiantil encuentra a Van tan intrigante... que mi editor me ha pedido que le haga una exposición... para el periódico de la escuela.	masculine	Die Schülerschaft findet Van so faszinierend, dass meine Redakteurin mich gebeten hat, ein Exposé über ihn zu machen... für die Schulzeitung.	feminine	El cuerpo estudiantil encuentra a Van tan intrigante... que mi editora me ha pedido que le haga una exposición... para el periódico de la escuela.	feminine
202	3572	fighter	We' re callin 'the taxidermist right now for the fighter that he just laid out.	male_embedding_list	OpenSubtitles	Wir rufen den Taxidermisten für den Kämpfer an, den er gerade angelegt hat.	masculine	Estamos llamando al taxidermista ahora mismo por el luchador que acaba de presentar.	masculine	Wir rufen den Taxidermisten für die Kämpferin an, den er gerade angelegt hat.	feminine	Estamos llamando al taxidermista ahora mismo por la luchadora que acaba de presentar.	feminine
